target_id	length	eff_length	est_counts	tpm
nHd.2.3.1.t07822-RA	834	656.366	11343	95.7688
nHd.2.3.1.t02887-RA	1125	947.336	810	4.73831
nHd.2.3.1.t02610-RA	1053	875.336	3093	19.5816
nHd.2.3.1.t20600-RA	1020	842.336	0	0
nHd.2.3.1.t03402-RA	399	223.431	2975	73.7879
nHd.2.3.1.t11976-RA	882	704.366	1351	10.6292
nHd.2.3.1.t07597-RA	378	203.121	0	0
nHd.2.3.1.t03786-RA	783	605.378	3	0.0274623
nHd.2.3.1.t02417-RA	1707	1529.34	16123	58.4232
nHd.2.3.1.t02375-RA	885	707.366	627	4.91208
nHd.2.3.1.t11813-RA	879	701.366	2014	15.9132
nHd.2.3.1.t15374-RA	1926	1748.34	1741	5.51844
nHd.2.3.1.t18685-RA	990	812.336	14.4405	0.0985122
nHd.2.3.1.t17287-RA	390	214.713	21	0.542005
nHd.2.3.1.t03627-RA	1038	860.336	4527	29.1598
nHd.2.3.1.t03278-RA	1596	1418.34	4333	16.9298
nHd.2.3.1.t08834-RA	438	261.547	115	2.43664
nHd.2.3.1.t17588-RA	1773	1595.34	2034	7.06547
nHd.2.3.1.t08449-RA	561	383.56	1906	27.538
nHd.2.3.1.t18076-RA	1821	1643.34	3567.26	12.0296
nHd.2.3.1.t00034-RA	477	300.121	264.997	4.89314
nHd.2.3.1.t17858-RA	1497	1319.34	1102.59	4.63129
nHd.2.3.1.t02396-RA	1473	1295.34	297	1.27062
nHd.2.3.1.t16055-RA	641	463.41	1011	12.0901
nHd.2.3.1.t22138-RA	254	90.0268	31.772	1.95575
nHd.2.3.1.t11444-RA	1482	1304.34	0	0
nHd.2.3.1.t04155-RA	378	203.121	825	22.5082
nHd.2.3.1.t12934-RA	873	695.366	11008.7	87.7335
nHd.2.3.1.t12046-RA	498	320.911	3	0.0518059
nHd.2.3.1.t05176-RA	1923	1745.34	61.5322	0.195373
nHd.2.3.1.t01269-RA	342	168.778	514.735	16.9009
nHd.2.3.1.t12171-RA	2778	2600.34	0	0
nHd.2.3.1.t00815-RA	741	563.39	125	1.22954
nHd.2.3.1.t01211-RA	1083	905.336	4887	29.914
nHd.2.3.1.t00523-RA	1521	1343.34	22.3928	0.0923774
nHd.2.3.1.t20452-RA	561	383.56	986.656	14.2552
nHd.2.3.1.t17530-RA	3141	2963.34	1064	1.98977
nHd.2.3.1.t17473-RA	2136	1958.34	74	0.209405
nHd.2.3.1.t13087-RA	1557	1379.34	1500	6.02647
nHd.2.3.1.t19496-RA	293	123.602	1140	51.112
nHd.2.3.1.t16855-RA	1143	965.336	2976	17.0843
nHd.2.3.1.t04716-RA	6975	6797.34	12752	10.3964
nHd.2.3.1.t07396-RA	498	320.911	15901	274.589
nHd.2.3.1.t03029-RA	321	149.11	16756.8	622.767
nHd.2.3.1.t10415-RA	1773	1595.34	23	0.0798947
nHd.2.3.1.t07409-RA	2991	2813.34	20756	40.885
nHd.2.3.1.t21209-RA	696	518.39	9	0.0962117
nHd.2.3.1.t11703-RA	552	374.613	21	0.310655
nHd.2.3.1.t11432-RA	1191	1013.34	13832	75.6438
nHd.2.3.1.t04170-RA	438	261.547	4	0.0847526
nHd.2.3.1.t04839-RA	3372	3194.34	10108	17.5358
nHd.2.3.1.t05633-RA	1101	923.336	6	0.0360109
nHd.2.3.1.t04872-RA	1878	1700.34	9023	29.4075
nHd.2.3.1.t11953-RA	5643	5465.34	8361	8.47781
nHd.2.3.1.t12147-RA	1018	840.336	153	1.00898
nHd.2.3.1.t10863-RA	1644	1466.34	1337	5.05289
nHd.2.3.1.t21622-RA	321	149.11	2	0.07433
nHd.2.3.1.t07042-RA	1317	1139.34	72.2213	0.351282
nHd.2.3.1.t03043-RA	621	443.437	212	2.64939
nHd.2.3.1.t11167-RA	600	422.471	937	12.2909
nHd.2.3.1.t15678-RA	2562	2384.34	7327	17.0295
nHd.2.3.1.t16428-RA	213	58.1725	11.5774	1.1029
nHd.2.3.1.t08867-RA	249	85.8861	114	7.3557
nHd.2.3.1.t02025-RA	528	350.736	23	0.363404
nHd.2.3.1.t10396-RA	993	815.336	1986	13.4985
nHd.2.3.1.t13777-RA	206	53.226	4230	440.412
nHd.2.3.1.t00327-RA	840	662.366	13872	116.06
nHd.2.3.1.t21728-RA	547	369.657	191	2.86336
nHd.2.3.1.t21352-RA	584	406.52	57.8605	0.788754
nHd.2.3.1.t03078-RA	2139	1961.34	13305	37.5928
nHd.2.3.1.t14807-RA	1164	986.336	0	0
nHd.2.3.1.t02062-RA	6081	5903.34	51246	48.1066
nHd.2.3.1.t05797-RA	525	347.736	606	9.6575
nHd.2.3.1.t20616-RA	284	115.613	220	10.5453
nHd.2.3.1.t01270-RA	3480	3302.34	878	1.47338
nHd.2.3.1.t09859-RA	2241	2063.34	2130	5.72073
nHd.2.3.1.t04092-RA	237	76.3058	1479	107.412
nHd.2.3.1.t03851-RA	213	58.1725	132	12.5747
nHd.2.3.1.t00581-RA	1008	830.336	8009	53.4523
nHd.2.3.1.t12484-RA	1275	1097.34	66	0.333309
nHd.2.3.1.t16960-RA	993	815.336	9	0.0611713
nHd.2.3.1.t00227-RA	585	407.512	9952	135.335
nHd.2.3.1.t16858-RA	528	350.736	4597	72.6333
nHd.2.3.1.t17926-RA	954	776.352	7574	54.0641
nHd.2.3.1.t09018-RA	972	794.336	512	3.57197
nHd.2.3.1.t00952-RA	1929	1751.34	4413	13.9639
nHd.2.3.1.t19056-RA	486	309.011	4	0.0717345
nHd.2.3.1.t13046-RA	810	632.366	353	3.09349
nHd.2.3.1.t15676-RA	8399	8221.34	18739.1	12.6313
nHd.2.3.1.t07048-RA	501	323.898	740.1	12.6627
nHd.2.3.1.t02498-RA	339	165.911	7	0.233811
nHd.2.3.1.t18974-RA	201	49.7634	43.8569	4.88393
nHd.2.3.1.t12059-RA	510	332.839	33.5276	0.558227
nHd.2.3.1.t09983-RA	528	350.736	35.9173	0.567499
nHd.2.3.1.t04213-RA	2019	1841.34	2064.16	6.21231
nHd.2.3.1.t10820-RA	1404	1226.34	7460	33.711
nHd.2.3.1.t07468-RA	681	503.39	1257.2	13.8401
nHd.2.3.1.t04023-RA	1308	1130.34	4680	22.9446
nHd.2.3.1.t17947-RA	294	124.527	0	0
nHd.2.3.1.t13563-RA	2082	1904.34	5804	16.8899
nHd.2.3.1.t01922-RA	705	527.39	0	0
nHd.2.3.1.t06170-RA	1350	1172.34	1244	5.88045
nHd.2.3.1.t14310-RA	913	735.352	1554	11.7111
nHd.2.3.1.t22962-RA	312	140.835	2.87739	0.113222
nHd.2.3.1.t03463-RA	9240	9062.34	163542	100.007
nHd.2.3.1.t20134-RA	537	359.687	424	6.53257
nHd.2.3.1.t18916-RA	147	20.7062	74.3576	19.9006
nHd.2.3.1.t20379-RA	897	719.366	167	1.2865
nHd.2.3.1.t06975-RA	1878	1700.34	2223	7.24514
nHd.2.3.1.t17340-RA	288	119.191	2	0.0929882
nHd.2.3.1.t12344-RA	288	119.191	107	4.97487
nHd.2.3.1.t01417-RA	999	821.336	2123	14.3242
nHd.2.3.1.t05192-RA	2412	2234.34	14689	36.4322
nHd.2.3.1.t04828-RA	762	584.39	3209	30.4305
nHd.2.3.1.t03279-RA	1827	1649.34	2508	8.42676
nHd.2.3.1.t02962-RA	1077	899.336	381.447	2.35047
nHd.2.3.1.t03843-RA	495	317.911	1027.73	17.9151
nHd.2.3.1.t17293-RA	1665	1487.34	67	0.249636
nHd.2.3.1.t13218-RA	741	563.39	554	5.44932
nHd.2.3.1.t00075-RA	1971	1793.34	11162	34.4923
nHd.2.3.1.t18421-RA	4030	3852.34	14840	21.3477
nHd.2.3.1.t10526-RA	483	306.073	1625	29.4219
nHd.2.3.1.t09210-RA	1323	1145.34	442887	2142.9
nHd.2.3.1.t07583-RA	1668	1490.34	874	3.2499
nHd.2.3.1.t00986-RA	2397	2219.34	13906	34.7233
nHd.2.3.1.t14529-RA	1713	1535.34	3431	12.384
nHd.2.3.1.t22292-RA	496	318.911	657	11.4166
nHd.2.3.1.t21113-RA	376	201.186	13	0.358085
nHd.2.3.1.t20247-RA	1437	1259.34	1456.46	6.40914
nHd.2.3.1.t14975-RA	1410	1232.34	573	2.57672
nHd.2.3.1.t21425-RA	393	217.608	378.967	9.65091
nHd.2.3.1.t18617-RA	1947	1769.34	942	2.95041
nHd.2.3.1.t17393-RA	2734	2556.34	4395	9.52759
nHd.2.3.1.t16761-RA	222	64.7022	20	1.71298
nHd.2.3.1.t03211-RA	1161	983.336	11	0.0619916
nHd.2.3.1.t10922-RA	2523	2345.34	7575.4	17.8996
nHd.2.3.1.t04091-RA	2547	2369.34	23685	55.3973
nHd.2.3.1.t09277-RA	2430	2252.34	19049	46.8685
nHd.2.3.1.t00020-RA	282	113.867	1	0.0486682
nHd.2.3.1.t04531-RA	1722	1544.34	1401	5.02734
nHd.2.3.1.t00469-RA	1446	1268.34	5571	24.3411
nHd.2.3.1.t21785-RA	363	188.683	1094.56	32.1477
nHd.2.3.1.t18908-RA	249	85.8861	2.12822	0.13732
nHd.2.3.1.t10733-RA	585	407.512	361.406	4.91469
nHd.2.3.1.t06895-RA	426	249.824	403	8.93951
nHd.2.3.1.t18564-RA	2619	2441.34	9143.76	20.7558
nHd.2.3.1.t01955-RA	261	95.8426	343	19.8325
nHd.2.3.1.t12365-RA	1050	872.336	640.906	4.07148
nHd.2.3.1.t20450-RA	492	314.942	64	1.12614
nHd.2.3.1.t10172-RA	279	111.238	5134	255.768
nHd.2.3.1.t16126-RA	1836	1658.34	18298	61.1467
nHd.2.3.1.t14795-RA	1923	1745.34	7346	23.3246
nHd.2.3.1.t15079-RA	462	285.273	1059	20.5721
nHd.2.3.1.t13752-RA	525	347.736	357.473	5.69685
nHd.2.3.1.t18588-RA	444	267.478	391	8.10086
nHd.2.3.1.t14523-RA	609	431.445	45	0.578001
nHd.2.3.1.t03677-RA	2505	2327.34	6883	16.3893
nHd.2.3.1.t05456-RA	537	359.687	312	4.80698
nHd.2.3.1.t09142-RA	2717	2539.34	7203	15.7194
nHd.2.3.1.t17240-RA	3444	3266.34	5352.09	9.0804
nHd.2.3.1.t18116-RA	804	626.366	8	0.0707789
nHd.2.3.1.t03356-RA	321	149.11	3	0.111495
nHd.2.3.1.t00811-RA	2340	2162.34	5251	13.4574
nHd.2.3.1.t07988-RA	510	332.839	146	2.43087
nHd.2.3.1.t19932-RA	471	294.175	495	9.32486
nHd.2.3.1.t11772-RA	631	453.419	287	3.50772
nHd.2.3.1.t03892-RA	1338	1160.34	29336.8	140.111
nHd.2.3.1.t02063-RA	1854	1676.34	10046.3	33.2113
nHd.2.3.1.t01207-RA	1806	1628.34	5871	19.9807
nHd.2.3.1.t05934-RA	918	740.352	60422	452.271
nHd.2.3.1.t03410-RA	1353	1175.34	19350	91.2349
nHd.2.3.1.t08597-RA	1233	1055.34	4717.43	24.7717
nHd.2.3.1.t06674-RA	765	587.378	1	0.00943461
nHd.2.3.1.t02516-RA	2151	1973.34	6777.73	19.0338
nHd.2.3.1.t14675-RA	1578	1400.34	7834	31.0023
nHd.2.3.1.t22707-RA	180	36.687	22.2931	3.36744
nHd.2.3.1.t17019-RA	2400	2222.34	4337	10.8149
nHd.2.3.1.t11439-RA	432	255.692	2	0.0433466
nHd.2.3.1.t10007-RA	1239	1061.34	6	0.0313286
nHd.2.3.1.t20900-RA	411	235.119	14.8177	0.349249
nHd.2.3.1.t12911-RA	348	174.423	104.548	3.32165
nHd.2.3.1.t05379-RA	576	398.529	1377	19.1477
nHd.2.3.1.t04247-RA	621	443.437	2507	31.3303
nHd.2.3.1.t11114-RA	2754	2576.34	900	1.9359
nHd.2.3.1.t06330-RA	1356	1178.34	874	4.1104
nHd.2.3.1.t03391-RA	345	171.606	9	0.290639
nHd.2.3.1.t22212-RA	45	14.8476	14	5.22533
nHd.2.3.1.t13720-RA	957	779.336	6052	43.0345
nHd.2.3.1.t13029-RA	915	737.352	1556	11.6944
nHd.2.3.1.t20968-RA	624	446.437	425	5.27559
nHd.2.3.1.t07158-RA	1419	1241.34	141.757	0.632847
nHd.2.3.1.t15622-RA	1212	1034.34	12	0.0642927
nHd.2.3.1.t15560-RA	351	177.237	5	0.156335
nHd.2.3.1.t11146-RA	528	350.736	1092	17.2538
nHd.2.3.1.t19203-RA	447	270.451	32690	669.836
nHd.2.3.1.t10709-RA	3009	2831.34	1257	2.46029
nHd.2.3.1.t03681-RA	1452	1274.34	2077.33	9.03366
nHd.2.3.1.t00599-RA	285	116.518	0	0
nHd.2.3.1.t14835-RA	487	309.999	17002	303.936
nHd.2.3.1.t16015-RA	624	446.437	0	0
nHd.2.3.1.t12164-RA	2412	2234.34	0	0
nHd.2.3.1.t13637-RA	95	23.455	420	99.233
nHd.2.3.1.t17242-RA	1020	842.336	100	0.657895
nHd.2.3.1.t03159-RA	1110	932.336	11	0.0653826
nHd.2.3.1.t21000-RA	229	69.9754	3	0.237584
nHd.2.3.1.t03698-RA	1218	1040.34	54	0.287649
nHd.2.3.1.t11508-RA	11340	11162.3	7680	3.81284
nHd.2.3.1.t03336-RA	330	157.515	45	1.58319
nHd.2.3.1.t06427-RA	2301	2123.34	10866	28.3591
nHd.2.3.1.t18088-RA	330	157.515	8.63514	0.303801
nHd.2.3.1.t16254-RA	4869	4691.34	2648	3.12798
nHd.2.3.1.t02212-RA	2703	2525.34	113	0.247971
nHd.2.3.1.t18909-RA	1269	1091.34	183.872	0.933681
nHd.2.3.1.t17160-RA	974	796.336	29199.2	203.197
nHd.2.3.1.t15521-RA	762	584.39	1	0.00948286
nHd.2.3.1.t22723-RA	99	20.4982	79	21.3576
nHd.2.3.1.t16993-RA	2274	2096.34	6820	18.0287
nHd.2.3.1.t22839-RA	211	56.7001	315.521	30.838
nHd.2.3.1.t21227-RA	451	274.402	8.6434	0.174558
nHd.2.3.1.t12876-RA	1476	1298.34	238.524	1.01809
nHd.2.3.1.t22514-RA	241	79.455	467.029	32.5735
nHd.2.3.1.t02181-RA	441	264.52	1371	28.7224
nHd.2.3.1.t12567-RA	2304	2126.34	7602.79	19.8145
nHd.2.3.1.t18745-RA	768	590.378	283	2.65643
nHd.2.3.1.t09019-RA	2019	1841.34	20508	61.7209
nHd.2.3.1.t19106-RA	333	160.33	0	0
nHd.2.3.1.t06983-RA	432	255.692	4239	91.8731
nHd.2.3.1.t04809-RA	429	252.743	2176	47.7114
nHd.2.3.1.t00783-RA	3657	3479.34	1737	2.76659
nHd.2.3.1.t10919-RA	2709	2531.34	13022	28.5082
nHd.2.3.1.t12068-RA	1947	1769.34	4184	13.1046
nHd.2.3.1.t20216-RA	373	198.312	41.2638	1.15309
nHd.2.3.1.t09926-RA	942	764.352	4349.92	31.5377
nHd.2.3.1.t16571-RA	1089	911.336	2136	12.9887
nHd.2.3.1.t11521-RA	249	85.8861	2378	153.437
nHd.2.3.1.t08375-RA	1683	1505.34	6230	22.9349
nHd.2.3.1.t18651-RA	1332	1154.34	5513	26.4666
nHd.2.3.1.t13798-RA	303	132.638	912.174	38.111
nHd.2.3.1.t13948-RA	954	776.352	6077	43.3783
nHd.2.3.1.t02616-RA	1704	1526.34	8152	29.5976
nHd.2.3.1.t02970-RA	14337	14159.3	10252	4.01244
nHd.2.3.1.t10224-RA	279	111.238	536	26.7027
nHd.2.3.1.t20389-RA	188	41.4889	1110	148.263
nHd.2.3.1.t11140-RA	1644	1466.34	14	0.0529099
nHd.2.3.1.t03127-RA	3042	2864.34	13284	25.7008
nHd.2.3.1.t21584-RA	129	15.9206	164	57.0855
nHd.2.3.1.t12498-RA	1290	1112.34	26.3021	0.131038
nHd.2.3.1.t02466-RA	1383	1205.34	5027	23.1123
nHd.2.3.1.t16012-RA	999	821.336	3	0.0202415
nHd.2.3.1.t10599-RA	894	716.366	0	0
nHd.2.3.1.t07173-RA	888	710.366	102	0.79572
nHd.2.3.1.t18203-RA	2014	1836.34	4467	13.4805
nHd.2.3.1.t21255-RA	408	232.194	326.141	7.78388
nHd.2.3.1.t16364-RA	525	347.736	806	12.8448
nHd.2.3.1.t03357-RA	3306	3128.34	22821	40.4262
nHd.2.3.1.t11188-RA	554	376.605	4	0.0588594
nHd.2.3.1.t09114-RA	204	51.8192	1162.4	124.31
nHd.2.3.1.t01985-RA	933	755.352	22	0.161404
nHd.2.3.1.t09543-RA	486	309.011	68	1.21949
nHd.2.3.1.t17279-RA	441	264.52	1553	32.5353
nHd.2.3.1.t14451-RA	3120	2942.34	681	1.28262
nHd.2.3.1.t19729-RA	562	384.56	183.42	2.64317
nHd.2.3.1.t15347-RA	1035	857.336	2813.22	18.1842
nHd.2.3.1.t11296-RA	1218	1040.34	27	0.143824
nHd.2.3.1.t13829-RA	363	188.683	23.3048	0.684471
nHd.2.3.1.t10414-RA	273	106.01	280	14.637
nHd.2.3.1.t22452-RA	351	177.237	580	18.1349
nHd.2.3.1.t12057-RA	3288	3110.34	17170	30.5918
nHd.2.3.1.t14794-RA	1116	938.336	210.427	1.24276
nHd.2.3.1.t01184-RA	921	743.352	88.097	0.656764
nHd.2.3.1.t09176-RA	486	309.011	562	10.0787
nHd.2.3.1.t15179-RA	381	206.022	115	3.09333
nHd.2.3.1.t11606-RA	1017	839.336	3788	25.0101
nHd.2.3.1.t21470-RA	633	455.419	93.716	1.14037
nHd.2.3.1.t22271-RA	354	180.078	172.362	5.30424
nHd.2.3.1.t17636-RA	258	93.3297	481	28.5606
nHd.2.3.1.t02757-RA	837	659.366	1	0.00840457
nHd.2.3.1.t15651-RA	2458	2280.34	247	0.600261
nHd.2.3.1.t10975-RA	1392	1214.34	4873.48	22.2404
nHd.2.3.1.t20575-RA	561	383.56	36.5825	0.528545
nHd.2.3.1.t08809-RA	801	623.378	3971	35.3013
nHd.2.3.1.t18597-RA	720	542.39	463	4.73055
nHd.2.3.1.t18803-RA	1476	1298.34	1021.24	4.35898
nHd.2.3.1.t14887-RA	978	800.336	22	0.152332
nHd.2.3.1.t20947-RA	429	252.743	1815	39.796
nHd.2.3.1.t11847-RA	324	151.894	719	26.2319
nHd.2.3.1.t11038-RA	3015	2837.34	468	0.914065
nHd.2.3.1.t09102-RA	2205	2027.34	6299	17.2182
nHd.2.3.1.t20369-RA	587	409.504	1476	19.9742
nHd.2.3.1.t05235-RA	1248	1070.34	1584	8.20119
nHd.2.3.1.t05889-RA	498	320.911	2302.66	39.7638
nHd.2.3.1.t16330-RA	612	434.445	64.8678	0.827439
nHd.2.3.1.t11372-RA	1383	1205.34	70	0.321834
nHd.2.3.1.t11764-RA	5106	4928.34	327	0.367697
nHd.2.3.1.t02175-RA	1035	857.336	10	0.0646385
nHd.2.3.1.t07180-RA	477	300.121	0	0
nHd.2.3.1.t11097-RA	432	255.692	570.264	12.3595
nHd.2.3.1.t13160-RA	363	188.683	0	0
nHd.2.3.1.t11463-RA	420	243.908	762.676	17.3283
nHd.2.3.1.t05770-RA	12543	12365.3	25413	11.3892
nHd.2.3.1.t03720-RA	204	51.8192	595	63.6309
nHd.2.3.1.t10532-RA	696	518.39	4014	42.9104
nHd.2.3.1.t22636-RA	163	27.6812	36	7.20709
nHd.2.3.1.t07484-RA	3219	3041.34	286	0.521127
nHd.2.3.1.t01622-RA	2247	2069.34	26037	69.7272
nHd.2.3.1.t13429-RA	456	279.352	332	6.5861
nHd.2.3.1.t19162-RA	731	553.39	1570.68	15.7289
nHd.2.3.1.t18749-RA	321	149.11	1813	67.3802
nHd.2.3.1.t14646-RA	312	140.835	86.701	3.41157
nHd.2.3.1.t09704-RA	645	467.41	40	0.474247
nHd.2.3.1.t14780-RA	354	180.078	93	2.86197
nHd.2.3.1.t16726-RA	2490	2312.34	4156	9.96017
nHd.2.3.1.t12435-RA	231	71.5571	32.4854	2.51581
nHd.2.3.1.t06993-RA	858	680.366	2346.8	19.1151
nHd.2.3.1.t00115-RA	441	264.52	29.8491	0.625336
nHd.2.3.1.t15913-RA	9462	9284.34	3874	2.31234
nHd.2.3.1.t12136-RA	1206	1028.34	4022	21.6745
nHd.2.3.1.t04219-RA	5139	4961.34	16406	18.3251
nHd.2.3.1.t15278-RA	1742	1564.34	3893	13.791
nHd.2.3.1.t11340-RA	531	353.729	3956	61.9766
nHd.2.3.1.t16355-RA	768	590.378	26	0.244053
nHd.2.3.1.t10826-RA	351	177.237	76.7248	2.39896
nHd.2.3.1.t15854-RA	936	758.352	4.76585	0.0348266
nHd.2.3.1.t08036-RA	600	422.471	26359.7	345.768
nHd.2.3.1.t09989-RA	2514	2336.34	15	0.0355794
nHd.2.3.1.t17698-RA	1290	1112.34	4012.51	19.9904
nHd.2.3.1.t20099-RA	450	273.413	549	11.1275
nHd.2.3.1.t22696-RA	357	182.95	172.223	5.21676
nHd.2.3.1.t18262-RA	1598	1420.34	157.572	0.614795
nHd.2.3.1.t07230-RA	1839	1661.34	158	0.527038
nHd.2.3.1.t08843-RA	2121	1943.34	5668	16.1631
nHd.2.3.1.t07102-RA	4572	4394.34	7939.67	10.0127
nHd.2.3.1.t18399-RA	4356	4178.34	1524.4	2.0218
nHd.2.3.1.t16052-RA	1386	1208.34	9972	45.7337
nHd.2.3.1.t01418-RA	714	536.39	351	3.62634
nHd.2.3.1.t16561-RA	1858	1680.34	531	1.75122
nHd.2.3.1.t22814-RA	388	212.782	36	0.937585
nHd.2.3.1.t17271-RA	1128	950.336	65	0.379034
nHd.2.3.1.t09896-RA	492	314.942	30973.7	545.009
nHd.2.3.1.t19320-RA	330	157.515	0	0
nHd.2.3.1.t19854-RA	923	745.352	1800	13.383
nHd.2.3.1.t16009-RA	3363	3185.34	10731.1	18.6695
nHd.2.3.1.t19213-RA	441	264.52	4	0.0837998
nHd.2.3.1.t18336-RA	2208	2030.34	1319.74	3.60215
nHd.2.3.1.t06745-RA	159	25.6816	0	0
nHd.2.3.1.t04634-RA	741	563.39	2501	24.6006
nHd.2.3.1.t16898-RA	576	398.529	1788	24.8628
nHd.2.3.1.t13246-RA	261	95.8426	0	0
nHd.2.3.1.t11339-RA	624	446.437	1352	16.7826
nHd.2.3.1.t14226-RA	2226	2048.34	2274	6.15221
nHd.2.3.1.t02245-RA	2802	2624.34	9117	19.2519
nHd.2.3.1.t09150-RA	615	437.437	63	0.798118
